perprocessed,job_category
experienc categori head demonstr histori work internet industri skill retailmanag fashion apparel team manag strong market profession pgd apparel marketingand merchandis manag focus retail fashion brand manag nift hyderabad,apparel
offer one stop solut apparel brand retail appli arvind expertis across textil apparelvalu chain provid tailormad sourc strategi custom devic manufactur strategi,apparel
nairobi garment factori apparel brand design garment manufactur sport apparel manufactur screenprint embroideri servic t shirt print direct garment polo shirt brand uniform school uniform,apparel
aspir senior manag posit hr 20 year continu profession experienceto attain promin posit continu learn gain knowledg experi,apparel
be street bike cruiser rider one notic mani shortcom motorcycl apparel learn augment gearwith specif piec bridg gap left manufactur rybak ride gear apparel design bridgethat gap ad key featur tweak deriv mani year street ride experi,apparel
freelanc footwear apparel designerget touch info,apparel
our main object fashion industri innov missioni creat differ road between nation intern essenc style,apparel
immens knowledg field handloom fabric dress materi,apparel
help make world betterspecialti suppli chain manag innov sustain,apparel
textil dev cotton cloth readymad cloth,apparel
see woman wear pleas visit us web,apparel
sb associ,apparel
the bilingu isabel fluent spanish come raa team year custom servic experi underh belt love fun run causerel walk event one caus near dear heart,apparel
experienc consult demonstr histori work account industri skill negotiationmicrosoft word account team build financi account strong consult profession graduat fromth institut charter account india,accountant
highli motiv individu fast learner abil understand grasp concept eas possess widerang skill includ leadership problemsolv mental good commun amiableperson,accountant
i work senior posit major account practic make decis start businessin 1998 i extens vari experi act busi manufactur design construct sector,accountant
an enthusiast semi qualifi account ca – inter outgo person encount challengingopportun hr manag oper have penchant work peopl orient industri,accountant
for nearli 20 year i look account tax affair individu ownermanag businessesin creativ entertain sector,accountant
hard work aim retir wealthi,accountant
offer 8 year career tax account cpa qualif current studi toward cta the taxinstitut i possess skill necessari surpass expect deep knowledg field,accountant
an enthusiast semi qualifi account ca – inter outgo person encount challengingopportun hr manag oper have penchant work peopl orient industri,accountant
hard work aim retir wealthi,accountant
describ client highli ethic strateg endlessli patient great explain tax matter laymansterm i enjoy help peopl grow creativ practic develop clear grasp financi affair,accountant
• a qualifi account profession tax consult 11 year account audit experiencework manag account audit chart account firm,accountant
• a qualifi account profession tax consult 11 year account audit experiencework manag account audit chart account firm,accountant
irish tax law advisor provid independ object adviceintern tax cross border trade,accountant
busi taxesperson tax,accountant
as featur cpa canada magazin,accountant
i take pride take activ interest work individu achiev busi person goal i haveexperi wide rang industri provid servic area audit tax advisori my background,accountant
experienc tax specialist demonstr histori work account industri skill tax accountspay account reconcili audit account strong healthcar servic profession graduat govtcolleg jalor,accountant
mba account extens corpor share servic center account experi pc skill networkenviron,accountant
experienc proprietor demonstr histori work account industri skill cash flowbudget year end account sage product tax prepar strong account profession aat cimafocus manag account demontfort univers,accountant
sale tax incom taxservic tax pf esi exim regn efil,accountant
22 year account experi 12 year tax experi,accountant
i often first person peopl meet saig look toward chang financi manag oftheir busi,accountant
sincer hard worker,accountant
indira extens account financi experi develop career span awid rang industri name not profit account firm school board financi retail her analyt,accountant
goal orient person,accountant
i mba holder busi administrationmanag i skill account financi manag andaudit i ten year experi work ngo i work the access project rwanda eight,accountant
i current student macewan univers pursuit major account minor financ after firstexperi volunt tax clinic i knew that i want through experi i abl,accountant
experienc owner demonstr histori work architectur plan industri skill autocadmixedus submitt space plan construct manag strong busi develop profession witha barch focus gold medalist final year krvia,architects
we pleas introduc compani “ uniqu design “ profession manag compani operatingin field interior design land scape vastu sinc last 1 half year,architects
with 6 year experi sk interior architect one lead compani india deal ininterior exterior we one stop solut kind interior exterior need per requir,architects
swan design architectsfrom incept 2014 swan design architect built reput innov design except,architects
as architect i believ design make differ creativ solut achiev i aspir tobe part chang we may abl chang world architectur chang world,architects
swan design architectsfrom incept 2014 swan design architect built reput innov design except,architects
architecttransport centr,architects
fijo engin architect profession consult contract organ base thrissur kerala fijosengin architect one reput construct compani we excel team architect civil,architects
experienc architect demonstr histori work architectur plan industri skill healthfacil plan architectur design urban plan feasibl studi mixedus strong profession outlookwith bachelor architectur focus architectur school plan architectur,architects
ms priyanka chopra post graduat planner architectur background she 35 year experi including15 year experi field architectur focus design supervis multistorey build she,architects
experienc architect demonstr histori work architectur plan industri skill landdevelop home builder interior architectur construct supervis autocad architectur strong art,architects
manuel current involv reloc luton town fc and involv rio 2016 nomad temporaryhandbal arena local partner lead architect lope santo ferreira gome oficina ao sc paulo,architects
i current work bechtel india pvt ltd gurugram sincejanuari 2017 befor join bechtel i work traine architect,architects
we multipl opportun across industri vertic rang mid senior global leadership posit indevop ecommerc softwar itit kpo semiconductor embed engin automobil medic devic,architects
an architectur student surpass 200 level studio far ampl concept build make andanalyz veri compet use autocad rhino adob creativ suit sketch equal familiar use,architects
im interior design work startup pune also join homelan design partner im passion doingart craft,architects
as architect i believ design make differ creativ solut achiev i aspir tobe part chang we may abl chang world architectur chang world,architects
architectur studentseek internship posit,architects
achiev success plan 10 million sqft residenci area mywan structur green buildingin,architects
commun network core strength sonali vivaci pr profession mumbai shestart enterpreneri journey april 2014 public relat fort ever sinc churn,public relations
social media public relat consult delhincr region specail social media pr work professionalsand small medium busi,public relations
adapt analyt openmind experienc public relat execut demonstr histori workingin public relat commun industri skill dossier prepar microsoft word excel ppt social,public relations
a season market public relat profession 16 year experi craft market prstrategi lead corpor across india south asia extrem well network media,public relations
i public relat content write profession i ardent learner believ deliv noth butth best i handl top corpor hospit fashion sport brand so far i good track record ingiv best possibl media coverag client current i work intrasoft technolog,public relations
archer public relat one reput pr agenc central india 15 year enrich experi archer prspecial public relat media monitor servic we offer complet pr solut client across india,public relations
teamwork public relat lead public relat advisori india extens experi variou sectorsrang healthcar educ corpor entertain we function onestop shop type,public relations
commun profession 20 year extens experi media relat extern internalcommun crisi manag stakehold relat public affair public advocaci brand manag,public relations
experienc market public relat demonstr histori work field media andcommun domain have extens network lead news media agenc platform india andintern,public relations
commun profession 20 year extens experi media relat extern internalcommun crisi manag stakehold relat public affair public advocaci brand manag,public relations
oncal shortterm market commun public relat servic i provid mani busi fromwrit monthli newslett articl blog post social media materi plan full commun,public relations
pr social media consult,public relations
a compet market commun profession 6 year exposur across corpor communicationmarket brand manag public relat media plan current manag corpor commun public relat pinnacl industri limit group compani,public relations
global leadership spotifi ’ intern extern commun includ corpor financi communicationsconsum commun public affair crisi commun execut commun join compani,public relations
i start career pr profession serv variou industri like educ hospit art cultur ngoecommerc spiritu mani now i work independ pr profession will take project andretain client,public relations
resourc resultsori public relat execut 15 year agenc inhous experi fashionsport entertain luxuri brand proven strength includ written commun publish author media,public relations
my career – ever sinc i join it train giant niit still fledgl compani alway centr aroundstartup i lucki enough manag strateg commun imag reput build,public relations
ronn torossian founder ceo 5w public relat one 15 large independentlyown pr firm inth unit state with 20 year experi craft execut power narr torossian one,public relations
as selfdescrib chatterbox i sometim think i born phone hand it natur i endedup market commun industri i never look back,public relations
i effect commun excel relationship build interperson skill 15 year ofprofession exposur brand strategi public relat corpor commun corpor affair,public relations
a corpor commun specialist 14 year divers experi agenc corpor forimpl commun strategi masteri digit commun rural audienc proven histori,public relations
a commun two decad experi straddl busi journal corpor commun via asmal detour filmwrit i fascin industri today challeng pose converg,public relations
highenergi commun profession 17 year global pr market experi span smallstartup fortun 100 compani keen abil understand corpor object develop relev global,public relations
specialtiespubl relat corpor commun,public relations
engag promot creat intend public imag zee yuva zee talki write materi releas tovari commun media spokerperson media zee yuva zee talki handl ground level,public relations
specialti travel public relat luxuri lifestyl market social media market hotel market hospitalitypubl relat hotel pr,public relations
i current work press public relat director metropol montecarlo i join may 2014i intern background live madagascar kenya itali iran singapor work pari,public relations
an openmind result driven profession strong network busi media 10 year workingexperi respons posit intern privat institut,public relations
experienc media relat demonstr histori work public relat communicationsindustri skill new write edit featur write media relat journal strong media andcommun profession bachelor art ba focus boardcast journal howard univers,public relations
i fell love pr i intern entertain agenc lo angel from i grew corpor andag posit alway develop passion creat cultur commun,public relations
introduc world ’ big sport brand new custom grow region differ languag counselingth founder world ’ large softwar compani transit next act one globe ’,public relations
an integr market commun profession i work divers subject sector beeninvolv across variou commun busi function success led differ campaign tool across,public relations
as presid tc public relat i work public relat market busi develop morethan 25 year use media relat social media expertis i help client boost reput public,public relations
public relat brand commun leader extens experi understand import ofearn media increasingli connect world lead corpor brand commun public relat,public relations
core strength skill,public relations
experienc market and public relat specialist demonstr histori work informationtechnolog servic industri skill microsoft excel microsoft word busi develop social media,public relations
resourc leader adept develop implement manag creativ integr market communicationsprogram minor market selfstart entrepreneur extens experi commun outreach public,public relations
specialti lead larg global team storytel public affair influenc program focus reputationmanag crisi commun ipo technolog servicesproduct launch,public relations
i work consum busi busi brand creat effect strategi transform compani areperceiv media busi partner employe consum as leader advoc employe,public relations
corpor commun profession special high perform intern extern communicationextens experi brand pr client agenc account manag,public relations
note if havent met real life done businesswork onlin i probabl accept connect requestresultsori public relat profession twenti year experi corpor govern polit,public relations
dear friend i dinesh gada 58 year old bud artist,arts
16 year practic experi design project manag variou residenti commerci projectsskillsinclud concept developmentfeas studiesspac plan specif,arts
i passion advoc educ audienc engag particip art cultur sector seasia europ i design facilit deliv art base programm event content sinc 2012,arts
explor authent everythingb inspiredstay creativ,arts
specialti art administr,arts
leav art school join fw woolworth train manag immedi join team design andrefurbish store continu paint throughout time two one man show earli 1960 upper street,arts
miriam cabello found mlc galleri 2004 the inaugur exhibit highlight conflict iraqi wardisplac refuge three iraqi artist western sydney select crosscultur educ,arts
learn growth stabil,arts
as art director stephani integr analyt approach design program artist flair colorand pattern the result truli innov work tailor exclus client,arts
galatiraccom galati restaur art carousel center inc,arts
my first job titan watch compani sale execut i handl custom give proper optionaccord continu graduat job 25 year servic i quit job good,arts
experienc proprietor demonstr histori work event servic industri skill advertisingmur event manag art direct market research strong entrepreneurship profession,arts
complet graduat postgradu commerc marian colleg kuttikkanam immedi thecomplet postgradu join axi bank ltd offic oper trivandrum branch teach,arts
wan comput sceinc engin,arts
i consult psychologist art base therapi practition drum circl facilit i work children andgrownup alik variou art form like draw paint music danc drama stori drum circl subtl,arts
my interest alway mechan natur sinc young agei love build repair thing ani machineri grab attent i also love design new thing to build part ora machin new give quit feel accomplish repair system other could also feel great,arts
the nation centr cultur art ncca king hussein foundat nonprofit nongovernmentalorgan establish 1987 her majesti queen noor al hussein mission promot social,arts
key strength core compet,arts
i visual artist love spread happi share art writer illustr children ’ bookshav taught young adult elementari middl school teachersi encourag other embrac opportun,arts
qualifi pilat tutorcommiss pet portrait,arts
airlin profession,aviation
i engin mba iit roorke jamna lal bjaj institut mumbai i work siemen india andsiemen germani time group gener manageri also work dsj group coo,aviation
twenti seven year total aviat experi,aviation
nandurnair1991com,aviation
experienc oper safeti train manag demonstr histori work airlinesaviationindustri skill oper manag gener aviat charter flight oper airport commerci aviationand ground handl,aviation
it game i play win i,aviation
we pleas introduc compani swarex ship aviat pvt ltd head offic mumbai withbranch offic major air sea port india provid servic relat custom clearanc freight,aviation
experienc logist execut domest demonstr histori work logist suppli chainindustri airlin cargo receiv move strong busi develop profession skill cargo logist,aviation
it game i play win i,aviation
an adept servic industri profession 12 year experi aviat hospitalitya profici trainer specialis skill groom make fashion trend soft skill social behaviour,aviation
we make student profession hoteli focus train groom person hygienecommun skill bodi languag intang servic team work hospit etiquett we believ valu,aviation
experienc chief execut offic demonstr histori work airlinesavi industri skill innegoti busi plan oper manag airport manag strong entrepreneurship,aviation
aviat enthusiast manageri abil,aviation
aviat manag,aviation
experienc design engin demonstr histori work automot industri skill solidworkssiemen nx finit element analysi fea manufactur catia strong engin profession master ofengin meng focus comput aid design sri venkateswara colleg engin,aviation
be resourc innov contribut product toward organis well self would helpm build career,aviation
experienc flight oper manag demonstr histori work human resourc industri skilledin oper manag manag time manag privat airlin team coordin strongoper profession graduat nehru institut engin technolog,aviation
i enjoy learn newth assimil new idea quickli,aviation
experienc aircraft mainten engin demonstr histori work airlinesavi industryskil avion engin aircraft mainten airport airworthi strong engin profession,aviation
aerobusi profession independ consult health promot,aviation
i ritu royborn india energeticambiti young person develop matur environmentwhich make differenti believ smart work posit attitud,aviation
an mba graduat special aviat manag current employ hr share servic goair india pvtltd focus data analyt integr servic assist hr oper,aviation
current im pursu mba aviat manag complet bba financi manag im fresh,aviation
