description,Accountant,Advocate,Agricultural,Apparel,Architects,Arts,Automobile,Aviation,BPO,Banking,Building & Construction,Business Development,Consultant,Designing,Digital Media,Education,Engineering,Finance,Food & Beverages,HR,Health & Fitness,Information Technology,Managment,Public Relations,Sales
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Having 10+ years of hand on Experience in End to End Recruitmentskills-Recruitment,compensation & Benefits,Corporate training,Career Counseling,PDP classes etc...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Manav Placement Consultant (MPC) is a leading job placement consultancy firm catering to the needs of variousindustries and organizations since 1992 for their requisite talented manpower to occupy senior and middle levelpositions for performing various functional responsibilities....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"25+ years of experience in IT industry, worked in software consulting, business development, sales, pre-sales, projectmanagement and training out of those 15+ years in software product sale and pre-sales through partners & directselling. Excellent account management, project management, relationship building and solution selling skills. ...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Recruiter and Consultant,... see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"25+ years of experience in IT industry, worked in software consulting, business development, sales, pre-sales, projectmanagement and training out of those 15+ years in software product sale and pre-sales through partners & directselling. Excellent account management, project management, relationship building and solution selling skills. ...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"HVAC Sales ,Project and Maintenance... see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1) Consultant and Trainer - ISO 9001, IATF 16949, EHOS,VDA 6.32) Previously Heading Quality assurance function in Automotive industries... see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sathyanand brings in 10+ years of experience in education and development, most recently as Certification Lead atCentre for Teacher Accreditation (CENTA) and at Karadi Path Education Company. He was also a Teach for India fellow,before which he was working with DHAN Foundation, an NGO working in microfinance and agriculture. He h...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Preparation of DBR, SLD,Specifications for Electrical Calculation for power, lighting & Earthing. short circuit, voltagedrop,sizing for Transformer, Generator & LT Panel....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Educationist specialising in enhancing the performance of schools by creating customized school improvement plans &professional development programs and designing curriculum  to create sustainable school ecosystems.... see more,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"waterproofing consultant having developed propitory system for expansion joint , podium slab and basementwaterproofing.  Also we developed drain system for terrace gardens and basements. Also giving lectures onwaterproofing to practicing civil engineers.... see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"EduTrain Training & Consulting Services is a consortium of Trainers and Consultants hailing from diverse businessverticals including Academia and Industry....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Wearing a hat of Sales person, Trainer and Consultant for last 14 years with Mercuri Goldmann ( India) Pvt. Ltd. to helporganisation gaining competitive advantage and improve sales performance through unparalleled solutions acrossknowledge, process, skills and behaviour....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced Civil Engineer with a demonstrated history of working in the civil engineering industry. Skilled in AutoCAD,Highways, Quality Management, Quality Assurance, and Structural Engineering. Strong engineering professional with aM.Tech focused in Structural Engineering from Dcrust murthal.... see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Political Consultant for over five years, have worked with top notch politicians across India... see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Have eight years of industry experience and skills in multitasking and understanding of financial concepts in an AssetManagement company. Seek employment in a fast-paced customer environment as Asset Management Specialist withthree years experience and strong ability to develop relationships with external database consultants. Possess...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"A Design Thinking Consulting Practitioner,  seasoned industry professional with over 20+ years of corporate experience.Ihave worked globally across different cultures, domains and technologies with TCS, Infosys and Cybage in variousstrategic leadership roles.I bring rich understanding of diverse Business, Industries and cultures together with...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"with a 24 Years comprehensive experience in food production both  A la carte and bulk food production in Hotels /institutional Catering / stand-alone restaurant operation Proven ability to effectively lead multi-outlet dining and highvolume operations....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"IT Professional with more than  20 Years in the areas of Banking , Capital Markets , Payments and Healthcare domains.Good Blend of technical & domain knowledge and strategic thinker....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"I have the proven B2B & B2C approach that generates leads and opportunities to grow your business.? Do you use Social Media to GROW your business?...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Guiding companies to achieve excellence... see more,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced and mature HR and L&D Executive with demonstrated results and impact in key areas of TalentDevelopment, Executive Coaching and Capability Building.   Have thorough understanding of human dynamics in  achanging environment and ability to facilitate, train and coach executives across organisational levels.... see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Management system consultants and facilitator with core competence in HACCP/ ISO 22000/FSSC/BRC/GMP & expertisein food processing and hotel industries....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RL Financial Services & Consultant's provides end to end financial reporting services to public filers and mutual fundregistrants. We are here to make your XBRL filing simpler, inexpensive and accurate....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Expert in design and design management of building engineering services. Currently teaching plumbing design at apremier institute in Pune... see more,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"I am Odoo, Python Developer and Consultant. I have around 3+ years of Professional Experience,Working for Odoo v12, v11, v10, v9, v8....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"I  m looking for job change in HVAC,REVIT,MEP design and Estimation fieldI am a Mechanical Engineer currently working in Amnear engineers consultancy as a Design and Estimation E...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Excellence Award - Pfizer Project (Tata Consultancy Services).Performer Of the Year Award -SQL STAR Ltd.Team Lead of the Quarter - 3i-Infotech.... see more,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Dear Friends,My name is Arun Chaudhary. I am the Co-founder of Vidhyant Infosystems and also a Freelancer IT Trainer, w...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ANIKA Technologies is a high end training and consulting company focusing on quality and effectiveness. Researchconducted suggests that an effective training can increase productivity of employees by 230%....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SS Recruits and Consultants is a young startup foraying into recruitment and consultancy businesss. We are based inHyderabad and render our services across India. Our management has vast experience in diverse verticles. Our vision isto provide quality services to our clients, thereby attaining win win situations and customer delight.... see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GSB Research & Consulting Pvt. Ltd. is a one stop solution for business formation, promotion, marketing, branding,development and reputation management . Main motto of GSB is to deal with different aspects of start-ups and othergrowing organisations by providing all supports using print, electronic, digital, telecom, outdoor activities, ev...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Follow us on **Instagram** ????SWAB DIGITAL MEDIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This is Digital Marketing Agency specialized in B2B and B2C marketing using Google Adwords, Bing Ads, OathAdvertising, Amazon Ads, Quora Ads, YouTube Marketing, LinkedIN Marketing, Facebook Marketing, Email Marketing,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"? Founder & CEO of Absolute Digital Media, a multi award-winning digital marketing based in Essex and London ?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Build99 is a pioneer in providing one stop solution for building construction materials in Indian market throughe-commerce.Our main focus is on rendering the services for procurement of materials in construction industry.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shahni Digital Media is Number one Digital Marketing company in Bhopal, India that helps you build your brand andpresent it to your target customers. We have more than 5 years’ experience in the field and we are fastest growingdigital marketing firm in India.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Building Construction professional with over 15 years’ experience in India & the US industries with strongcommunication skills & ability to extract the best out of diverse project teams – Clients, Consultants, Contractors,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Reynolds' position as Vice President sees him managing the theatrical movies division of Digital MediaManagement where he and his team develop and execute digital, viral and social media campaigns for a wide range of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hello,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I am well organised Project Manger and goal-oriented, with more than 21 years experience inManagement/Construction filed and a strong quality focus. Analytical problem-solver and able to anticipate issues and",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced Vice President with a demonstrated history of working in the marketing and digital advertising industry.Skilled in Digital media planning, Strategy, SEM, Search Engine Optimization (SEO), Mobile Content, Sales, and MobileApplications. Strong digital media professional with a Master's degree focused in Marketing from Mumbai University.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I am well organised Project Manger and goal-oriented, with more than 21 years experience inManagement/Construction filed and a strong quality focus. Analytical problem-solver and able to anticipate issues and",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KA-Digital Media is just like having an in-house marketing team for ½ or even ? of the price !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MEP Electrical designer and supervisor,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bavyesh digital Media is a digital agency based in Hyderabad, India with a vision to connect players across the digitalworld – Advertisers and Publishers.The team has a collective experience of more than 20 years in the online media space",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"As a founder of Stark Digital Media Services, I created a most passionate team which has achieved hundreds of awesomewebsites, 500+ global clientele, 100% repeat business ratio and a Trust in the domain that we work in.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Perfection and quality in any project, big or small. Dependability,reliability, and trust are the qualities that most describeG. Ghine Construction. See Community Focus online, Howard County, for more details",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innovation hungry product evangelist who believes that the true potential of digital media can open up infiniteopportunities for every entity in the digital ecosystem.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I have total 7 years Experience in civil construction field. Hence i have 4 years Experience in india as ( part time) Auto caddraftsman civil and 3 years Experience in Qatar as civil site supervisor.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I am an MBA graduate (specialising in marketing) from Rizvi Institute if Management Studies & Research. I am presentlyworking in Digital marketing agency, managing paid campaigns on Google ads. Have also done media planning for",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sameer's ConstructionCivil Engineer / Government Contractor.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Marketing Professional with 8+ years of experience in executing and scaling up the digital campaign for B2B &B2C brands. Core strength lies in Data-Driven Approach. Skilled in Web Analytics | Digital Strategy | SEO | Paid Media |,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"We always welcome you, regardless the bulk of project. Our foremost concern is the satisfaction of customer and thescope of project is faraway from that. So, get ready to build your idiosyncratic dream with team In-Build.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marketer at heart.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HOMES FOR LIFE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"We are more than a digital agency, we’re a trusted partner and collaborator. We build results-oriented digital strategiesand continually refine your campaigns for optimal outcome. From full-scale Digital Marketing and Advertising strategyand planning right through to the tactical execution and reporting.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Building construction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"• Enterprising leader & planner with a strong record of contributions in streamlining operations, invigorating businessesand heightening productivity.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"As Head Media & Publishing I am responsible for meeting the client needs on daily basis and business developmentapart from media planning. Developing objectives, strategies, plans and presentations. My role involves working with a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced Senior Consultant with a demonstrated history of working in the government administration industry.Skilled in Political Science, Public Speaking, Social Media, International Relations, and Public Administration. Strongconsulting professional with a Master of Business Administration - MBA focused in Marketing from NMIMS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Building construction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced Co-Founder with a demonstrated history of working in the online media industry. Skilled in BusinessProcess, Service Delivery, Requirements Analysis, Customer Relationship Management (CRM), and Management. Strongentrepreneurship professional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Media Hawk - A Digital Marketing Services. We are a group of Digital Marketing experts finding out the solutionsfor your business with better marketing strategies to get more profitable business.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Shri Ram Constructions is a civil construction company specializing in building residential and commercial property asEducational Institutions, Industrial Buildings, Commercial Complexes, and Residential Apartments.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THE WHAT: Since 2011, I've helped Coaches, Consultants and other industry experts start or grow online businesses withonline marketing, automation, and advertising.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hi,I am Abhijeet kumar, a digital Marketing Consultant. I don't say i am an Expert in Digital Marketing but having goodknowledge about SEO and SMO. Worked with top Industries in Digital Field.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Extensive experience in engineering and management, leadership and development, test and problem-solving. Expert atanalyzing and solving the most complex of problems. Self-motivated professional, capable of working independently oras part of a team.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Our young and passionate team of digital marketing enthusiasts comprising of specialists in insights and analytics,strategy and planning, search marketing, social media, content development, web design are always motivated to deliver",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Richard Charles architecture- provides a multi-disciplinary range of architectural services to; residential, commercial,leisure and industrial clients, shaping each project experience to suit individual requirements.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carmen traded a career as an aerospace and defense software engineer working on projects like the Space Shuttleprogram for the opportunity to establish a home décor business and subsequently travel the globe writing about art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced Digital Marketing Executive with a demonstrated history of working in the leisure, travel trade & tourismsector and higher education. Skilled in Social Media Management, Content Creation, SEO, Digital Marketing, CMS and",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex- Certificate of Membership of the Indian Chapter  into ""LEADERSHIP EXCELLENCE HARVARD SQUARE""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A digital storyteller and brand professional working on the most exciting project in sports. I have a passion forconnecting the natural and digital worlds. Follow me @cam-dini on IG for stories about hockey, skiing, sailing, hiking",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DigitalRigs provides a complete service to our clients, which is about more than just equipping you with leading edgeInternet marketing tools. We work with you to build a complete Internet marketing strategy for your business and",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everyday is a New day if you love what you do!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced communications specialist with a demonstrated history of working in the government administrationindustry. Skilled in Government, Videography, Digital Marketing,  Social Media, Community Relations and Public Policy.Strong communications and design professional graduated from State University of New York.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Zettler is an ecommerce, digital marketing and social media consultant who is a certified Shopify Expert andFacebook Marketing Partner and has worked with over 150 brands, athletes and public figures on optimizing their",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
we make drawings designing delivery and export,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GVP Digital Media Group is a boutique digital production company which specializes in all your Digital Content needs.For over 20 plus years, our team has created literally hundreds of hours of national TV/Film Programming, Direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"(1.) B. E - Civil + PGDM- Marketing with 20.0 years of rich experience in Sales and Marketing,Project Management,Business Development & Client Servicing in Building Materials & mostly in Pre-Engineered Buildings.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Highly motivated and result oriented Civil Engineer (Gold Medalist) with an experience of working on construction sites,structural consultancy and in Project Management company. Completed Masters in Building Engineering and",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having a total experience of around 30  in M/S National Buildings Construction Corporation Limited (A Government ofIndia Enterprise) which is a premier construction company in India (schedule A) and Mini Ratna.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To Provide Clients with a true turn key build and then support them with maintenance for their plants and propertiesafter the build.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Degree & Diploma Holder Civil Engineer With 9.5 Year Experience in Building Construction Work.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hi, my name is Allen owner and founder of Austbuilding construction and renovation Pty Ltd.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Project Engineer, Execution of Civil Construction projects from Residential Apartments  and Villa's to Industrial (UnitedArab Emirates) and Commercial buildings.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialties: C-8 State of California Concrete Contractor’s License,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I'm a content creator, website designer, video editor, and entrepreneur. Moved to Los Angeles and acquired a BA inTelevision, Film, and Media Studies.Started my own company doing 360 photography and tours from small businesses to bigger facilities.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"By taking a course with the Arab Center for Media & Digital Marketing, you will come away with an actionable DigitalMarketing strategy for your business and the skills and knowledge to immediately implement a Digital campaign.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A passionate entrepreneur, product development and technology manager with over 15 years’ experience in planning,evaluating and commercializing new technologies, designing strategic roadmaps, and managing applied research",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AKV Digital Media is best digital marketing agency in Cochin ,Kerala, India.Our expertise teams their ideas create totransform into the reality.We can help you a build their business in to a digital flat form.digital marketing solutions for allyour business",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Experienced Digital Marketing Specialist with a demonstrated history of working in the fashion and entertainmentindustry. Skilled in Digital Strategy, Social Media, Media Planning & Buying and Online partner acquisitions &management.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A self-starter and quick learner.Versatile skill set in written and oral communication with experience in marketing, sales &customer service. Received best employee award for excellence in customer service and leading team projects.Recognized skills in mentoring employees and mediating with customer.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Please, feel free to contact me for Programmatic and Performance marketing.Skype - live:bhupesh.rao",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Experienced Chief General Manager with a demonstrated history of working in the government administration industry.Skilled in Financial Risk, Risk Management, Banking, Corporate Finance, and Bank Mergers. Strong finance professional",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A result oriented engineering professional with over 9 years of experience in setting up Strategies, Business Processes,KPIs, Systems and Merger & Acquisition.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
